rfid	locomotor_cage	locomotor_t1_age	locomotor_t2_age	locomotor_t1_total_distance	locomotor_t1_rest_time	locomotor_t1_rest_episode_count	locomotor_t1_movement_episode_count	locomotor_t1_vertical_activity_count	locomotor_t1_center_time_legacy	locomotor_t2_total_distance	locomotor_t2_rest_time	locomotor_t2_rest_episode_count	locomotor_t2_movement_episode_count	locomotor_t2_vertical_activity_count	locomotor_t2_center_time_legacy	locomotor_fecal_boli_box	locomotor_fecal_boli_1	locomotor_fecal_boli_2	locomotor_fecal_boli_change	locomotor_fecal_boli_age_1	locomotor_fecal_boli_age_2
933000320124669	3	80	81	2352.78	399.81	168	172	1442	249.37	2189.67	435.08	153	157	1224	191.07	24	4	6	2	80	81
933000320124682	2	80	81	1976.3	280.03	140	152	1540	132.89	1331.74	420.47	168	176	1273	56.27	23	3	2	-1	80	81
933000320124685	1	80	81	3881.84	331.47	136	144	2526	161.9	3704.48	350.17	137	143	2531	164.68	18	2	0	-2	80	81
933000320124688	2	78	79	1505.71	517.31	137	139	1074	683.84	799.22	592.96	174	172	746	789.46	2	4	5	1	78	79
933000320124693	1	80	81	2413.72	327.99	136	143	1360	172.36	1566.48	439.69	168	174	994	54.34	23	0	2	2	80	81
933000320124694	3	80	81	2645.11	412.6	154	155	1475	583.44	1197.74	552.9	148	146	857	283.87	21	1	1	0	80	81
933000320124701	1	78	79	1304.1	559.61	140	143	988	155.89	1357.4	501.62	153	157	967	85.67	2	6	4	-2	78	79
933000320124715	4	78	79	4085.85	448.36	159	161	1239	391.45	3324.85	423.88	167	175	1062	178.62	8	5	5	0	78	79
933000320124721	1	80	81	4067.31	294.26	129	138	1698	141.91	2986.4	394.39	149	153	1456	99.52	15	0	0	0	80	81
933000320124724	3	78	79	1440.46	501.39	161	164	1324	59.98	1168.76	532.48	175	179	1266	28.14	3	3	0	-3	78	79
933000320124731	4	76	77	4432.41	386.62	136	140	1416	201.85	3490.84	448.77	160	162	1068	63.51	10	1	3	2	76	77
933000320124734	1	75	76	3383.85	309.83	135	143	1354	104.11	1299.99	523.63	157	161	515	40.69	9	4	0	-4	75	76
933000320124735	3	75	76	3974.94	286.73	116	124	1439	185.44	3312	339.56	153	160	1330	194.27	14	7	5	-2	75	76
933000320124750	4	78	79	4210.15	320.24	130	142	1464	145.42	2899.82	358.07	153	162	1140	102.12	21	0	0	0	78	79
933000320124854	2	73	74	3600.64	282.34	136	146	1422	139.87	3872.63	315.02	136	143	1364	148.86	18	0	0	0	73	74
